"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"259","9924","福興","42","-0.2","-0.47","05/13","0","0.24","0.34","0.33","0.76","1.28","0.87","0.81","0.95","1.49","2.65","1"
"260","3008","大立光","2850","+55","+1.97","05/13","0","0.07","0.27","0.33","0.6","3.07","3.33","2.75","2.78","3.44","2.16","3.21"
"261","3042","晶技","146.5","-3","-2.01","05/13","0","0.29","0.64","0.33","0.68","1.83","1.58","3.08","5.88","6.3","3.42","2.48"
"262","6830","汎銓","746","-34","-4.36","05/13","0.37","0.71","0.46","0.32","0.29","0.22","0.11","0.08","0.09","0.52","","0.08"
"263","7765","中華資安","245","+1.5","+0.62","05/13","0","0","0.22","0.31","0.39","0.73","0.78","0.82","","","","1"
"264","6180","橘子","39.05","-0.55","-1.39","05/13","0","0.39","0.48","0.29","0.5","0.72","0.38","3.27","3.02","0.59","0.2","3.45"
"265","5880","合庫金","22.85","+0.05","+0.22","05/13","0.22","0.58","0.45","0.28","0.29","0.45","0.78","0.87","1.38","1.01","0.5","0.81"
"266","2547","日勝生","10.05","-0.1","-0.99","05/13","0.37","0.22","0.3","0.27","0.17","0.18","0.11","0.08","1.36","0.3","0.13","0.09"
"267","3592","瑞鼎","259.5","-1.5","-0.57","05/13","0.16","0.21","0.24","0.27","0.28","0.36","0.35","10.4","9.13","6.01","","1.67"
"268","2520","冠德","30.65","+0.35","+1.16","05/13","0.4","0.26","0.32","0.25","0.14","0.15","0.08","16.1","9.26","3.71","2.46","2.65"
"269","00992A","主動群益科技創新","18.25","-0.42","-2.25","05/13","0","0.4","0.39","0.24","0.12","0.09","0.06","","","","","0.05"
"270","2412","中華電","137.5","+2","+1.48","05/13","0.06","0.39","0.36","0.24","0.83","4.12","3.76","3.35","4.16","3.21","2.13","3.22"
"271","3596","智易","183","+2","+1.1","05/13","1.75","0.87","0.49","0.24","0.19","0.14","1","0.82","8.76","6.57","2.91","0.92"
"272","2855","統一證","41.65","-0.15","-0.36","05/13","0.29","0.24","0.2","0.24","0.16","0.42","0.44","0.93","1.98","3.76","1.89","0.86"
