"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"697","1789","神隆","20.25","+0.15","+0.75","26W19","05/08","59.8","-710","-0.12","59.2","-65.6","-0.01","59.1","+933","+0.16"
"698","2732","六角","65.8","+0.8","+1.23","26W19","05/08","2.5","+102","+0.41","2.5","+102","+0.41","2.5","+102","+0.41"
"699","2393","億光","65.9","-0.1","-0.15","26W19","05/08","28.8","-45","-0.02","27.6","-2,657","-0.95","26.7","-924","-0.34"
"700","00768B","復華20年美債","49.61","-0.2","-0.4","26W19","05/08","71.3","-266","-0.04","71.1","-266","-0.04","70.8","-1,257","-0.18"
"701","8940","新天地","16.35","-0.5","-2.97","26W19","05/08","4.66","+134","+0.29","4.52","+134","+0.3","4.24","+145","+0.34"
"702","2008","高興昌","29.05","-1.25","-4.13","26W19","05/08","17.4","+109","+0.06","17.4","+109","+0.06","17.3","+109","+0.06"
"703","1218","泰山","19.4","+0.05","+0.26","26W19","05/08","33.6","-419","-0.12","32.7","-2,755","-0.84","32","-3,643","-1.12"
"704","2480","敦陽科","159.5","-2","-1.24","26W19","05/08","2.5","+83","+0.33","2.24","+83","+0.37","2.06","+84","+0.41"
"705","00694B","富邦美債1-3","41.57","+0.03","+0.07","26W19","05/08","16.3","-723","-0.44","16.2","-723","-0.44","16.2","-723","-0.44"
"706","6763","綠界科技*","49","-1.4","-2.78","26W19","05/08","11.6","+53.9","+0.05","11.3","+41.2","+0.04","11","0","0"
"707","01004T","土銀富邦R2","10.44","-0.01","-0.1","26W19","05/08","67.3","-68","-0.01","66.6","-68","-0.01","66","-68","-0.01"
"708","8481","政伸","40.75","-0.6","-1.45","26W19","05/08","4.03","+16","+0.04","3.83","+16","+0.04","3.56","+16","+0.04"
"709","6910","德鴻","28.7","-1.3","-4.33","26W19","05/08","1.6","0","0","1.6","0","0","1.5","0","0"
"710","6612","奈米醫材","70.8","-1.7","-2.34","26W19","05/08","2.71","+27","+0.1","2.5","+27","+0.11","2.14","+14","+0.07"
"711","1465","偉全","12.4","-0.05","-0.4","26W19","05/08","7.05","0","0","6.83","0","0","6.46","0","0"
"712","3557","嘉威","23.2","-0.95","-3.93","26W19","05/08","4.8","0","0","4.54","0","0","4.45","0","0"
"713","1603","華電","31.45","-1.45","-4.41","26W19","05/08","13.7","-514","-0.37","13.5","+93","+0.07","13.4","+93","+0.07"
"714","5452","佶優","32.6","-3","-8.43","26W19","05/08","5.76","-752","-1.29","5.76","-752","-1.29","5.76","+186","+0.32"
"715","1109","信大","14.6","-0.25","-1.68","26W19","05/08","26.1","+121","+0.05","25.5","+121","+0.05","24.7","+1","0"
"716","2102","泰豐","17.9","-0.25","-1.38","26W19","05/08","36.9","+186","+0.05","36.5","+985","+0.27","35.8","+1,099","+0.31"
"717","4772","台特化","283.5","-14","-4.71","26W19","05/08","6.7","-268","-0.4","6.43","-180","-0.28","6.16","-180","-0.29"
"718","5511","德昌","73.1","-0.6","-0.81","26W19","05/08","6.68","-70","-0.1","6.32","-79","-0.12","5.78","-12","-0.02"
"719","6533","晶心科","202.5","-19","-8.58","26W19","05/08","1.01","+42","+0.42","0.93","+42","+0.46","0.83","-12","-0.14"
"720","3226","龍鋒","48.2","-0.3","-0.62","26W19","05/08","4.94","0","0","4.8","0","0","4.51","0","0"
"721","3252","海灣","17.6","-0.3","-1.68","26W19","05/08","3.73","0","0","3.52","0","0","3.44","0","0"
"722","8415","大國鋼","34.6","-0.55","-1.56","26W19","05/08","94","-281","-0.03","92.6","-244","-0.03","92.2","-312","-0.03"
"723","3294","英濟","36.75","-1.55","-4.05","26W19","05/08","6.84","+851","+1.26","6.7","+153","+0.23","6.33","+986","+1.58"
"724","6535","順藥","111","-4","-3.48","26W19","05/08","10.3","0","0","9.92","0","0","9.56","0","0"
"725","1711","永光","44.45","-3","-6.32","26W19","05/08","24.4","+4,877","+2.04","23.7","+2,663","+1.14","23.1","+4,202","+1.85"
"726","3296","勝德","20.95","-0.85","-3.9","26W19","05/08","7.31","+29","+0.04","7.11","+29","+0.04","7.02","-920","-1.29"
"727","6115","鎰勝","48.7","-0.7","-1.42","26W19","05/08","11.2","+943","+0.85","11","+943","+0.86","10.5","+39","+0.04"
"728","1413","宏洲","9.39","-0.11","-1.16","26W19","05/08","9.7","+69","+0.07","9.52","+69","+0.07","9.13","+69","+0.08"
"729","2849","安泰銀","13.6","-0.6","-4.23","26W19","05/08","192","+11","0","192","-28","0","192","+963","+0.05"
"730","5283","禾聯碩","51.7","-0.8","-1.52","26W19","05/08","4.99","+703","+1.43","4.76","+27.8","+0.06","4.49","-909","-1.98"
"731","2029","盛餘","20.35","-0.55","-2.63","26W19","05/08","22.5","+1","0","22.2","+1","0","21.9","+1","0"
"732","3686","達能","16.45","-0.65","-3.8","26W19","05/08","1.4","-1","-0.01","1.26","-1","-0.01","1.26","-1","-0.01"
"733","6274","台燿","1535","-75","-4.66","26W19","05/08","19.2","+2,399","+1.26","17.7","+2,278","+1.3","16.7","+673","+0.4"
"734","3218","大學光","131.5","-3.5","-2.59","26W19","05/08","4.5","-107","-0.24","4.36","-107","-0.24","4.16","-132","-0.32"
"735","4109","加捷生醫","12","-1.05","-8.05","26W19","05/08","4.64","+6.3","+0.01","4.38","+16","+0.04","4.29","+16","+0.04"
"736","8049","晶采","26.4","-0.8","-2.94","26W19","05/08","3.52","0","0","3.3","0","0","3.2","0","0"
"737","2926","誠品生活","34.5","-0.25","-0.72","26W19","05/08","3.37","-18","-0.05","3.16","+11","+0.03","3.06","+11","+0.04"
"738","1570","力肯","43.8","-4.85","-9.97","26W19","05/08","2.48","+4","+0.02","2.33","-1","0","2.33","-1","0"
"739","5460","同協","14.65","-0.4","-2.66","26W19","05/08","2.91","+127","+0.44","2.58","+121","+0.47","2.23","+1,052","+4.96"
