"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"194","2059","川湖","14095","-275","-1.91","526","08/19","+5.81","+4.03","+5.81","+9.56","+30","+33.1","+28.2","-12.4","+41.3","+13"
"195","1904","正隆","24.75","+0.2","+0.81","2,993","08/19","-1.55","+0.96","+1.2","+9.55","+4.76","+1.44","+101","+195","+271","+278"
"196","3504","揚明光","78.4","+0.5","+0.64","1,951","08/19","-0.12","+4.94","+9.69","+9.46","+9.87","+14","+4.5","+93.9","+122","+65.9"
"197","6138","茂達","297","+14.5","+5.13","1,184","08/19","+4.04","+5.53","+4.11","+9.37","+17.2","+16.7","-16.6","+53.5","-8.83","+90.4"
"198","4533","協易機","25.9","-0.8","-3","799","08/19","-0.63","-0.4","-0.41","+9.35","+13.6","-3.27","-0.47","+5.5","+15.5","+13.5"
"199","3150","鈺寶-創","17.15","0","0","34","08/19","+2.49","+2.92","+9.78","+9.29","+6.47","-4.63","+12.3","+145","+626","+111"
"200","2342","茂矽","38.8","-2.2","-5.37","5,716","08/19","+5.24","+8.05","+6.97","+9.21","+7.28","-20.3","-24.4","-14.3","+32","-11.5"
"201","3218","大學光","136","+2.5","+1.87","151","08/19","-1.84","-0.43","-0.29","+9.15","+0.58","-6.11","-12.4","+4.85","+40.7","+19.3"
"202","3052","夆典","11.3","+0.15","+1.35","360","08/19","-1.65","+0.34","-0.22","+9.14","+6.92","+1.76","+21.4","+15.5","-1.75","+34.3"
"203","1203","味王","42.8","-0.9","-2.06","34","08/19","0","+9.09","+9.09","+9.09","0","+700","+300","+100","0","+118"
"204","00934","中信成長高股息","28.55","+0.1","+0.35","1,462","08/19","-0.75","-7.2","+9.9","+9","+12.2","+15","+105","+272","-56.5","-67.9"
"205","8087","麗升能源","26.95","+0.1","+0.37","4","08/19","0","0","0","+9","+7.92","+14.7","+51.4","+419","+3,533","+445"
"206","8033","雷虎","185","-1","-0.54","1,150","08/19","-2.33","-5.57","+6.6","+8.95","+24.1","-0.29","+2.36","-20.6","-18.7","-27.9"
"207","2756","聯發國際","61.1","+0.1","+0.16","55","08/19","0","+6.47","+7.87","+8.94","+15.8","+15.4","+46.9","+69.6","","+50.2"
"208","6641","基士德-KY","18.05","+0.05","+0.28","19","08/19","+8.91","+7.84","+8.91","+8.91","+7.84","+7.84","-37.1","-12","+168","-29"
