排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
1973,6526,達發,624.0,-18.0,-2.8,26W37,09/11,15.6,-0.05,18.5,0.02,21.3,0.01,22.8,0.0
1974,9906,欣巴巴,39.2,-0.55,-1.38,26W37,09/11,17.5,-0.06,20.0,0.0,21.2,0.01,23.2,0.01
1975,6835,圓裕,30.15,-0.85,-2.74,26W37,09/11,14.9,-0.01,17.4,-0.01,21.2,-0.01,26.2,-0.01
1976,9944,新麗,17.4,0.1,0.58,26W37,09/11,14.4,-0.01,16.9,0.0,21.2,0.0,28.5,0.0
1977,6666,羅麗芬-KY,44.0,-0.85,-1.9,26W37,09/11,16.2,-0.01,18.8,0.0,21.2,0.0,22.0,0.0
1978,5345,馥鴻,22.05,-0.6,-2.65,26W37,09/11,12.1,-0.01,15.8,-0.01,21.1,0.0,21.1,0.0
1979,8404,百和興業-KY,13.9,-0.45,-3.14,26W37,09/11,13.9,-0.08,17.2,0.11,21.1,-0.01,23.5,-0.01
1980,2433,互盛電,41.05,-0.15,-0.36,26W37,09/11,17.9,0.0,19.3,-0.01,21.0,-0.01,22.2,0.0
1981,6916,華凌,18.5,-0.35,-1.86,26W37,09/11,14.2,0.0,17.4,-0.01,21.0,0.0,22.3,0.0
1982,2606,裕民,76.5,-1.9,-2.42,26W37,09/11,16.8,-0.2,18.6,-0.19,21.0,-0.08,22.6,-0.03
1983,1476,儒鴻,288.5,-1.5,-0.52,26W37,09/11,14.4,1.36,16.3,1.25,20.9,1.2,25.4,2.09
1984,2901,欣欣,23.0,-0.5,-2.13,26W37,09/11,13.5,0.21,16.6,0.02,20.8,0.0,26.1,0.0
1985,8932,智通*,90.6,-1.7,-1.84,26W37,09/11,12.7,-0.1,16.1,-0.12,20.8,0.14,22.1,0.28
1986,00666R,富邦恒生國企反1,9.25,0.05,0.54,26W37,09/11,9.97,-0.95,13.2,-0.94,20.8,1.78,20.8,1.78
1987,5478,智冠,96.9,-0.1,-0.1,26W37,09/11,15.3,0.02,17.2,0.15,20.8,-0.06,21.7,-0.06
1988,7827,漢康-KY創,152.5,-0.5,-0.33,26W37,09/11,13.2,0.02,17.2,-0.05,20.8,-0.04,23.2,-0.05
1989,00986B,FT金融債10+,9.41,-0.06,-0.63,26W37,09/11,17.2,-0.04,20.8,0.0,20.8,0.0,22.8,0.0
1990,2412,中華電,140.5,1.0,0.72,26W37,09/11,17.9,-0.13,19.6,-0.14,20.7,-0.15,21.5,-0.16
1991,7803,雲象科技-創,19.05,-0.55,-2.81,26W37,09/11,15.3,0.0,18.6,0.0,20.7,0.0,26.1,0.0
1992,4148,全宇生技-KY,33.8,1.4,4.32,26W37,09/11,15.0,-0.08,18.1,-0.03,20.6,0.1,22.1,0.1
1993,7799,禾榮科,414.5,-10.5,-2.47,26W37,09/11,15.3,-0.32,18.0,-0.16,20.6,-0.56,25.2,-0.32
1994,2023,燁輝,13.9,-0.2,-1.42,26W37,09/11,16.9,-0.13,19.0,-0.13,20.6,-0.12,21.4,-0.2
1995,1437,勤益控,31.85,0.3,0.95,26W37,09/11,12.5,0.02,16.6,0.16,20.6,-0.04,24.4,-0.04
1996,7709,榮田,84.0,-4.0,-4.55,26W37,09/11,16.5,0.1,18.3,0.0,20.6,0.0,20.6,0.0
1997,2013,中鋼構,41.45,-0.4,-0.96,26W37,09/11,17.6,-0.07,18.8,-0.07,20.5,-0.07,21.5,-0.07
