"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"246","3592","瑞鼎","258.5","+16","+6.6","05/08","0.13","0.31","0.28","0.32","0.34","0.43","0.36","11.3","9.47","6.32","","1.81"
"247","3693","營邦","603","-67","-10","05/08","0.56","0.31","0.34","0.32","0.84","0.41","0.19","0.41","0.37","0.09","0.07","0.19"
"248","3209","全科","55","+0.3","+0.55","05/08","0.12","0.11","0.12","0.32","0.16","0.16","0.13","0.22","0.32","0.32","0.15","0.2"
"249","1736","喬山","125","-5","-3.85","05/08","0","0","0","0.32","0.08","1.86","0.95","1.68","1.42","0.74","1.17","0.7"
"250","6531","愛普*","875","-50","-5.41","05/08","0.72","0.51","0.38","0.31","0.24","0.1","0.16","0.83","0.93","0.88","","0.95"
"251","6830","汎銓","787","-87","-9.95","05/08","0","0.13","0.09","0.31","0.17","0.15","0.08","0.06","0.07","0.52","","0.06"
"252","9941","裕融","75.7","-0.5","-0.66","05/08","0.3","0.56","0.53","0.31","0.19","1.27","14.8","11.8","12.1","7.02","3.95","13.1"
"253","7765","中華資安","243.5","+0.5","+0.21","05/08","1.02","0.39","0.25","0.31","0.71","0.84","0.86","0.83","","","","1.06"
"254","5439","高技","388","-19","-4.67","05/08","0","0","0","0.3","2.05","1.35","3.02","1.61","1.09","0.99","1.3","2.64"
"255","3014","聯陽","135.5","+4","+3.04","05/08","0.08","0.19","0.23","0.28","0.52","1.09","0.82","4.24","6.42","5.35","1.83","2.37"
"256","0052","富邦科技","57.1","-0.45","-0.78","05/08","1.21","0.72","0.46","0.27","0.15","0.74","1.26","1.05","1.06","1.09","1.1","1.38"
