"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"808","6125","廣運","櫃","05/12","","60.7","+1","+1.68","3,239","195","59.7","60.2","61.8","58.5","5.53","607","3.55","","","","",""
"809","7704","明遠精密","櫃","05/12","","60.7","+2.4","+4.12","201","12","58.3","58.5","61.5","57.7","6.52","29.3","1.77","","","","",""
"810","3673","TPK-KY","市","05/12","","60.6","+0.8","+1.34","16,346","1,009","59.8","60.6","63.5","60.4","5.18","22.4","0.63","","","","",""
"811","6592","和潤企業","市","05/12","","60.2","-0.7","-1.15","724","43.8","60.9","60.8","60.8","60.2","0.99","12","1.17","","","","",""
"812","2329","華泰","市","05/12","","60","+1","+1.69","12,913","768","59","59.2","60.6","58","4.41","29.3","3.45","","","","",""
"813","8099","大世科","櫃","05/12","","60","-1","-1.64","306","18.5","61","60.5","60.8","59.8","1.64","23.7","3.56","","","","",""
"814","1591","駿吉-KY","櫃","05/12","","59.9","-3.7","-5.82","1,772","109","63.6","63","64.3","59.9","6.92","","4.73","","","","",""
"815","2397","友通","市","05/12","","59.8","+0.6","+1.01","348","20.7","59.2","59.5","60.2","58.9","2.2","25.7","2.12","","","","",""
"816","3003","健和興","市","05/12","","59.8","+0.7","+1.18","2,186","129","59.1","58.6","60.8","57.5","5.58","60.4","1.44","","","","",""
"817","00728","第一金工業30","市","05/12","","59.7","+1.45","+2.49","234","13.8","58.25","58.55","59.75","57.75","3.43","","1.0013","","","","",""
"818","6841","長佳智能","櫃","05/12","","59.6","-0.8","-1.32","282","16.8","60.4","60.5","60.6","59.1","2.48","67","3.35","","","","",""
"819","6961","旅天下","櫃","05/12","","59.6","-0.4","-0.67","57","3.41","60","60.4","60.5","59.5","1.67","14.1","1.72","","","","",""
"820","1259","安心","櫃","05/12","","59.5","+2","+3.48","21","1.21","57.5","57.5","59.5","56.9","4.52","25","0.75","","","","",""
"821","9914","美利達","市","05/12","","59.5","+2","+3.48","2,803","164","57.5","57.3","59.7","56.7","5.22","14.8","0.92","","","","",""
"822","6899","創為精密","櫃","05/12","","59.4","+5.4","+10","524","31","54","55","59.4","55","8.15","16.2","1.38","","","","",""
"823","2206","三陽工業","市","05/12","","58.9","+0.8","+1.38","1,546","90.1","58.1","58.1","58.9","57.8","1.89","10.2","1.74","","","","",""
"824","4438","廣越","市","05/12","","58.8","-1.1","-1.84","129","7.5","59.9","59","59","57.7","2.17","16.5","0.77","","","","",""
"825","2497","怡利電","市","05/12","","58.5","-0.1","-0.17","567","33","58.6","58.6","59","57.3","2.9","24.7","2.93","","","","",""
"826","6792","詠業","市","05/12","","58.5","+2.4","+4.28","275","16.5","56.1","61.7","61.7","57.8","6.95","26.2","1.8","","","","",""
"827","3207","耀勝","櫃","05/12","","58.4","-0.8","-1.35","453","26.6","59.2","59.8","60.3","58.1","3.72","","2.22","","","","",""
"828","3684","榮昌","櫃","05/12","","58.4","-0.6","-1.02","122","7.1","59","58.7","58.7","57.6","1.86","16","2.43","","","","",""
"829","4737","華廣","市","05/12","","58.2","-1.2","-2.02","107","6.39","59.4","60","60.9","58.1","4.71","","2.24","","","","",""
"830","6202","盛群","市","05/12","","58.2","-1.3","-2.18","5,603","331","59.5","59.9","61","58.1","4.87","88.2","3.32","","","","",""
"831","6405","悅城","市","05/12","","58.2","+0.2","+0.34","984","56.6","58","60.1","60.1","55.5","7.93","","1.44","","","","",""
"832","2420","新巨","市","05/12","","58","+1.5","+2.65","803","46","56.5","57","58","56.1","3.36","14.8","2.23","","","","",""
"833","3545","敦泰","市","05/12","","57.9","+0.3","+0.52","3,349","192","57.6","58.3","58.6","55.6","5.21","","1.46","","","","",""
"834","6163","華電網","櫃","05/12","","57.8","-2.6","-4.3","4,919","281","60.4","59","59","55.6","5.63","77.1","2.94","","","","",""
"835","6516","勤崴國際","櫃","05/12","","57.8","-0.8","-1.37","112","6.43","58.6","58.6","58.6","57.2","2.39","31.9","3.12","","","","",""
"836","1240","茂生農經","櫃","05/12","","57.7","-1.3","-2.2","107","6.2","59","58.9","59.9","57","4.92","11.9","1.7","","","","",""
"837","6269","台郡","市","05/12","","57.6","-0.4","-0.69","4,575","263","58","58.1","58.5","56.4","3.62","","0.86","","","","",""
"838","3093","港建*","櫃","05/12","","57.5","-2","-3.36","1,484","85.8","59.5","59.1","59.4","57","4.03","47.1","7.6","","","","",""
"839","5007","三星","市","05/12","","57.5","-0.5","-0.86","49","2.83","58","58","58","57.2","1.38","19","2.57","","","","",""
"840","6024","群益期","市","05/12","","57.5","-0.7","-1.2","640","36.8","58.2","58.2","58.2","57.1","1.89","10.5","1.38","","","","",""
"841","6721","信實","櫃","05/12","","57.5","0","0","7","0.38","57.5","57.2","57.5","57.1","0.7","12.4","1.96","","","","",""
"842","6776","展碁國際","市","05/12","","57.4","-0.7","-1.2","378","21.8","58.1","58.1","58.2","57.1","1.89","14.2","1.99","","","","",""
"843","4588","玖鼎電力","市","05/12","","57.2","-1.1","-1.89","200","11.5","58.3","58.2","58.2","57","2.06","16","2.57","","","","",""
"844","6909","創控","市","05/12","","57.2","+0.9","+1.6","1,307","75.4","56.3","57","59.6","56.1","6.22","56.6","3.58","","","","",""
"845","6292","迅德","櫃","05/12","","57","+1.2","+2.15","1,251","71.7","55.8","57.7","59.6","55.5","7.35","24.1","2.49","","","","",""
"846","00668","國泰美國道瓊","市","05/12","","56.95","+0.25","+0.44","177","10.1","56.7","56.75","57","56.75","0.44","","0.9958","","","","",""
"847","0052","富邦科技","市","05/12","","56.9","-0.05","-0.09","42,873","2,438","56.95","57.05","57.4","56.1","2.28","","0.9975","","","","",""
"848","8383","千附","櫃","05/12","","56.7","+0.7","+1.25","1,764","99.4","56","56.1","57.2","55.1","3.75","16.6","1.69","","","","",""
"849","00911","兆豐洲際半導體","市","05/12","","56.6","+1","+1.8","695","39.3","55.6","56.1","56.95","55.95","1.8","","0.9935","","","","",""
