排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
126,2345,智邦,2320.0,-20.0,-0.85,07/16,0.01,0.03,0.03,0.03,0.14,0.02,0.64,1.19,0.98,4.31,-2.46,0.96
127,5306,桂盟,99.2,8.8,9.73,07/16,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.0,-0.01,-0.09,-1.45,-0.01
128,00713,元大台灣高息低波,60.9,0.3,0.5,07/16,0.0,0.0,0.0,0.03,0.03,0.04,0.28,0.21,-0.76,0.36,,0.16
129,2308,台達電,1905.0,15.0,0.79,07/16,0.01,0.01,0.03,0.03,0.01,-0.39,-0.36,-0.06,-0.01,0.15,1.44,-0.01
130,9910,豐泰,67.8,1.0,1.5,07/16,0.0,0.01,0.02,0.02,-0.36,-0.66,3.65,3.48,3.64,4.13,3.64,3.56
131,8926,台汽電,67.0,-0.7,-1.03,07/16,0.0,0.02,0.02,0.02,0.02,1.4,1.72,1.72,1.73,1.67,1.72,1.72
132,8021,尖點,505.0,-27.0,-5.08,07/16,0.01,0.02,0.02,0.02,-0.26,-0.04,-1.67,-1.61,-2.26,-2.47,-2.47,0.77
133,1608,華榮,33.25,-0.3,-0.89,07/16,0.0,0.0,0.0,0.02,0.1,0.14,0.28,0.2,0.47,0.46,0.49,0.18
134,8096,擎亞,142.0,-4.0,-2.74,07/16,0.0,0.0,0.01,0.02,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
135,6531,愛普*,909.0,-34.0,-3.61,07/16,0.15,0.22,0.22,0.02,-0.5,-0.53,5.53,3.89,5.01,4.91,5.87,4.4
136,3706,神達,89.9,-1.0,-1.1,07/16,0.0,0.0,0.02,0.02,1.72,3.13,4.33,4.27,3.56,4.34,3.05,4.19
137,8064,東捷,127.5,-3.5,-2.67,07/16,0.0,0.0,0.01,0.02,0.04,0.06,0.21,0.21,0.21,0.21,0.21,0.21
138,00927,群益半導體收益,38.7,-0.71,-1.8,07/16,0.0,0.0,0.0,0.02,0.02,0.04,0.04,0.04,0.04,0.04,,0.04
139,1590,亞德客-KY,1350.0,-15.0,-1.1,07/16,0.0,0.0,0.02,0.02,0.03,0.19,0.58,0.64,0.53,-0.2,-1.36,0.64
