"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股800張以下(%)","800張以下增減","持股1千張以下(%)","1千張以下增減","持股超過1千張(%)","超過1千張增減"
"2214","1726","永記","77.3","+0.3","+0.39","26W28","07/09","15.1","+0.02","16.1","+0.03","83.9","-0.03"
"2215","1303","南亞","188","+9.5","+5.32","26W28","07/09","14.8","+0.09","15.5","+0.04","84.5","-0.04"
"2216","4560","強信-KY","32.1","+0.4","+1.26","26W28","07/09","16.4","0","16.4","0","83.6","0"
"2217","4907","富宇","47.6","+2.6","+5.78","26W28","07/09","15.5","0","16.2","0","83.8","0"
"2218","5703","亞都","14.2","0","0","26W28","07/09","16.2","0","16.2","0","83.8","0"
"2219","6103","合邦","28.55","-0.5","-1.72","26W28","07/09","16.2","0","16.2","0","83.8","0"
"2220","6958A","日盛台駿甲特","18.95","-0.05","-0.26","26W28","07/09","16.1","0","16.1","0","83.9","0"
"2221","7722","LINEPAY","301.5","+27","+9.84","26W28","07/09","16.1","0","16.1","0","83.9","0"
"2222","6222","立軒","21","+0.7","+3.45","26W28","07/09","13.6","+0.01","15.5","+0.01","84.5","-0.01"
"2223","3629","地心引力","13.5","-1.25","-8.47","26W28","07/09","16","0","16","0","84","0"
"2224","9929","秋雨","11.45","+0.05","+0.44","26W28","07/09","16","0","16","0","84","0"
"2225","2924","宏太-KY","16.95","-0.05","-0.29","26W28","07/09","12.4","0","15.9","0","84.1","0"
"2226","5525","順天","22.05","+0.3","+1.38","26W28","07/09","14.8","0","15.9","0","84.1","0"
"2227","2887E","台新新光戊特一","48.75","0","0","26W28","07/09","14.3","+0.06","15.2","+0.06","84.8","-0.06"
"2228","2615","萬海","84.9","+0.6","+0.71","26W28","07/09","16.7","+0.1","17.4","0","82.6","0"
"2229","2881","富邦金","127","+1","+0.79","26W28","07/09","15.4","+0.03","15.8","+0.02","84.2","-0.02"
"2230","5213","亞昕","20.95","0","0","26W28","07/09","15.5","0","15.8","0","84.2","0"
"2231","2539","櫻花建","43.3","+0.2","+0.46","26W28","07/09","14.9","-0.01","15.6","-0.09","84.4","+0.09"
"2232","2701","萬企","10.65","+0.05","+0.47","26W28","07/09","15.1","-0.01","15.5","-0.01","84.5","+0.01"
"2233","5007","三星","56.1","+0.1","+0.18","26W28","07/09","15","-0.29","15.3","0","84.7","0"
"2234","2330","台積電","2370","+5","+0.21","26W28","07/09","14.2","+0.05","15","+0.07","85","-0.07"
"2235","2514","龍邦","12.25","+0.1","+0.82","26W28","07/09","14.7","+0.41","15.4","+0.2","84.6","-0.2"
"2236","2633","台灣高鐵","25.8","0","0","26W28","07/09","15","-0.08","15.5","-0.08","84.5","+0.08"
"2237","3054","立萬利","50.2","-0.1","-0.2","26W28","07/09","13.6","0","14.8","0","85.2","0"
"2238","6548","長科*","72.4","-1.8","-2.43","26W28","07/09","13.7","+0.17","14.5","-0.02","85.5","+0.02"
"2239","5276","達輝-KY","18.95","-0.1","-0.52","26W28","07/09","14.7","0","14.7","0","85.3","0"
"2240","3115","富榮綱","9.29","+0.28","+3.11","26W28","07/09","14.6","0","14.6","0","85.4","0"
"2241","1419","新紡","64","-0.2","-0.31","26W28","07/09","12.8","0","14.5","0","85.5","0"
"2242","01009T","王道圓滿R1","5.67","0","0","26W28","07/09","12.1","0","14","0","86","0"
"2243","2887F","台新新光戊特二","45.8","0","0","26W28","07/09","12.3","+0.05","14.2","+0.05","85.8","-0.05"
"2244","2347","聯強","93.4","-1.3","-1.37","26W28","07/09","13.5","-0.14","14.6","-0.03","85.4","+0.03"
"2245","4806","桂田文創","10.2","0","0","26W28","07/09","14.1","0","14.1","0","85.9","0"
"2246","8908","欣雄","39.5","-0.3","-0.75","26W28","07/09","13.1","+0.21","14","+0.21","86","-0.21"
"2247","1216","統一","75.7","+2.7","+3.7","26W28","07/09","13.2","-0.35","14.2","-0.28","85.8","+0.28"
"2248","6212","理銘","29.35","+0.25","+0.86","26W28","07/09","12.1","0","13.9","0","86.1","0"
"2249","2373","震旦行","53.3","-0.1","-0.19","26W28","07/09","13.9","-0.11","13.9","-0.11","86.1","+0.11"
"2250","6908","宏碁遊戲-創","32.3","-1.3","-3.87","26W28","07/09","13.6","0","13.6","0","86.4","0"
"2251","1525","江申","68.7","-0.1","-0.15","26W28","07/09","13.7","0","13.7","0","86.3","0"
"2252","5522","遠雄","64.1","+0.3","+0.47","26W28","07/09","12.9","+0.04","13.2","-0.07","86.8","+0.07"
"2253","1402","遠東新","27.5","+0.5","+1.85","26W28","07/09","12.7","-0.09","13.3","-0.14","86.7","+0.14"
"2254","1203","味王","47.65","+0.15","+0.32","26W28","07/09","11.8","-0.02","13.3","-0.02","86.7","+0.02"
"2255","9910","豐泰","69.5","-0.2","-0.29","26W28","07/09","13.1","-0.18","13.4","-0.08","86.6","+0.08"
"2256","6021","美好證","34.1","+0.25","+0.74","26W28","07/09","12.7","0","13.5","0","86.5","0"
"2257","2887Z1","台新新光己特","18.9","+0.2","+1.07","26W28","07/09","12.5","+0.1","13","+0.1","87","-0.1"
"2258","2712","遠雄來","14.85","0","0","26W28","07/09","12.3","0","13.1","0","86.9","0"
"2259","6581","鋼聯","108","-1","-0.92","26W28","07/09","13.1","0","13.1","0","86.9","0"
"2260","6929","佑全","23.95","+0.65","+2.79","26W28","07/09","13.1","0","13.1","0","86.9","0"
"2261","00727B","國泰優選非投等債","39.75","-0.03","-0.08","26W28","07/09","11","-0.02","11","-0.02","89","+0.02"
"2262","3532","台勝科","312.5","-3.5","-1.11","26W28","07/09","10.7","-0.32","11.9","+0.39","88.1","-0.39"
"2263","1225","福懋油","24.2","+0.5","+2.11","26W28","07/09","11.8","-0.02","12.5","-0.02","87.5","+0.02"
"2264","5514","三豐","13.75","+0.2","+1.48","26W28","07/09","11.3","0","12.5","0","87.5","0"
"2265","8455","大拓-KY","24","-0.15","-0.62","26W28","07/09","12.2","0","12.2","0","87.8","0"
"2266","6230","尼得科超眾","109","-2","-1.8","26W28","07/09","12.2","0","12.2","0","87.8","0"
"2267","2254","巨鎧精密-創","60.9","0","0","26W28","07/09","9.44","0","12.1","0","87.9","0"
"2268","3085","新零售","11.75","0","0","26W28","07/09","12.1","0","12.1","0","87.9","0"
"2269","6236","中湛","17.05","0","0","26W28","07/09","12","0","12","0","88","0"
"2270","8937","合騏*","23.8","-0.1","-0.42","26W28","07/09","11.4","0","12","0","88","0"
"2271","2881A","富邦特","61.8","0","0","26W28","07/09","11.3","-0.01","11.9","-0.01","88.1","+0.01"
"2272","5903","全家","183.5","0","0","26W28","07/09","10.5","0","11.4","0","88.6","0"
"2273","2718","全心投控","44.75","+0.15","+0.34","26W28","07/09","11.8","-0.08","11.8","-0.08","88.2","+0.08"
